Station_Code,Station_Name,State_Name,Minimum_Temperature,Maximum_Temperature,Minimum_DissolvedO2,Maximum_DissolvedO2,Minimum_pH,Maximum_pH,Minimum_Conductivity,Maximum_Conductivity,Minimum_BOD,Maximum_BOD,Minimum_NitrateN_and_NitriteN,Maximum_NitrateN_and_NitriteN,Minimum_Fecal_Coliform,Maximum_Fecal_Coliform,Minimum_Total_Coliform,Maximum_Total_Coliform
4358,"RIVER GOWTHAMI (GODAVARI) GOVALANKA, INJARAM (V), NEAR GMC
BALAYOGI BRIDGE, TALLAREVU (M)",ANDHRA PRADESH,25,31,5.8,6.8,7.1,8.4,228,60900,1.3,2.4,0.7,3.09,4,20,93,210
1448,"NAGAVALI AT THOTAPALLI REGULATOR, VIZIANAGARAM",ANDHRA PRADESH,24,36,5.7,8.1,6.7,8.4,200,585,1.2,2.5,0.23,9.35,7,21,75,2400
4346,"RIVER NAGAVALI NEAR NH- 16 BRIDGE,
UPSTREAM (U/S) OF SRIKAKULAM TOWN, BEFORE CONFLUENCE OF TOWN
SEWAGE",ANDHRA PRADESH,21,30,5,8.5,7.2,8.7,234,631,0.8,2.7,0.24,2.13,4,11,69,120
4347,"RIVER NAGAVALI NEAR WATER PUMP HOUSE (KILLIPALEM) , DOWN STREAM (D/S) OF SRIKAKULAM TOWN, AFTER
CONFLUENCE OF TOWN SEWAGE",ANDHRA PRADESH,21,30,4.6,7,7.1,8.5,302,1090,1.2,2.6,0.96,8.64,15,20,120,1100
4348,"RIVER VAMSADHARA, IMMEDIATE BORDER BETWEEN ANDHRA PRADESH & ORISSA STATES, NEAR LALITHAMBA
TEMPLE, BATTILI (V) BHAMINI (M)",ANDHRA PRADESH,20,34,6.5,8.1,6.7,8.3,254,384,1.4,2.6,0.16,2.29,7,21,93,460
4351,"RIVER NAGAVALI IMMEDIATE BORDER BETWEEN ANDHRA PRADESH & ORISSA STATES, NEAR SIVALAYAM, KUNERU (V),
KOMARADA (M)",ANDHRA PRADESH,24,34,5.4,8.2,6.7,8.6,240,462,1.2,2.4,0.38,1.77,7,21,93,460
4390,"PAPAVINASANAM RESERVOIR,
TIRUMALA",ANDHRA PRADESH,24,30,6.4,7.2,7.1,8,50,100,0.4,1.2,0.09,0.42,BDL,2,2,300
4357,RUSHIKONDA BEACH,ANDHRA PRADESH,25,32,5,7,7.2,8.4,5000,85900,1.2,2.4,0.33,1.07,4,15,28,150
4379,"UPPUTERU BEFORE CONFLUENCE WITH SEA, AT CHINAGOLLAPALEM VILLAGE,
KRUTHIVENNU (M)",ANDHRA PRADESH,25,28,4.1,5.8,7.7,7.9,28800,34100,2.2,3.4,0.56,1.4,3,4,210,1600
2352,"VAMSADHARA, KALINGAPATNAM,
VIZIANAGARAM",ANDHRA PRADESH,20,33,5.5,8.6,7,8.2,225,375,1.4,2.3,0.18,3.26,9,23,120,390
